id,category,subcategory
1,Sofas,Classic Sofas
2,Sofas,Loveseats
3,Sofas,Sectionals
4,Sofas,Chaises
5,Storage,Dressers
6,Storage,Wardrobes & Armoires
7,Storage,Bookcases & Shelving
8,Storage,Cabinets & Sideboards
9,Storage,Filing & Bins
13,Beds,Bed Frames
31,Decor,Rugs
32,Decor,Mirrors
33,Decor,Dividers
34,Decor,Decorative Accents
10,Storage,Media Units
11,Storage,Ottomans
12,Storage,Trunks
14,Beds,Headboards
15,Tables,Coffee Tables
16,Tables,End Tables
17,Tables,Dinner Tables
18,Tables,Dining Sets
19,Tables,Accent Tables
20,Tables,Home Office Desks
21,Tables,Utility Tables
22,Chairs,Accent Chairs
23,Chairs,Home Office Chairs
24,Chairs,Dining Chairs
25,Chairs,Recliners
26,Chairs,Stools
27,Chairs,Ottomans
28,Chairs,Benches
29,Decor,Lamps
30,Decor,Wall Art
35,Sofas,Sofa Beds
